Name,Comment,Date,Model
Porsche911R,"Nigel Worc's said:What ho chapsJust a quick request for feedback, my mate is looking at Macan modelsMay I ask for any advice/ feedback on these cars please ?Many thanks in advanceWhy does he want an SUV ? They do nothing well ?So my advice is talk him out of it :-) Nigel Worc's said: ","January 08, 2019",Porsche Macan
Koln-RS,"Whilst the Macan is not a true Porsche sports car, it is hard to fault as luxury, sporting SUV. If he really needs a versatile 4/5 seater, then he won't be disappointed - but its not a 911 or a Cayman.I've driven several variants, but not the latest 'facelift' model, and they are all good in different ways. The GTS sounds lovely, but quite thirsty. The DS also sounds pretty good with the sports exhaust, very good mid-range power delivery and will do a genuine 40 mpg.Nicest options are the sports seats (18 way), Air Suspension and PASM for the best ride/handling, I wouldn't go above 20"" wheels, panoramic roof is popular. ","January 08, 2019",Porsche Macan
Yellow491,"Porsche911R said:Nigel Worc's said:What ho chapsJust a quick request for feedback, my mate is looking at Macan modelsMay I ask for any advice/ feedback on these cars please ?Many thanks in advanceWhy does he want an SUV ? They do nothing well ?So my advice is talk him out of it :-)Dont listen to the r twoddleGet one,the petrol versions are gutsy on fuel,diesel are brilliant.Not much room in a macan but the cayenne is great,they aint no sports car though.I had a tourag for 5 years,the cayenne is on a differant level especialy towing with air suspension etc Porsche911R said: Nigel Worc's said: ","January 09, 2019",Porsche Macan
W12GT,"W12GT said:Absolutely love my turbo - it does everything so well and is incredibly capable. I tried both diesel variants and the 2.0 petrol and found all lacking in the power I was looking for. The Macan S is a great car but for me the Turbo performance and residuals made sense, the mpg is pretty bad though. I don’t know what I’d swap it for; I’m considering a Rapide or Giulia Quadrifoglio but need to try and get some long test drives before I make final decision. Have a suspicion this will be staying a while though.Forgot to say the PDSL is really useful, 18way seat are superb and by far the best seats I’ve ever sat in - and that includes the Bentley!Two things that are annoying - the door mirrors don’t dip down far enough to see the kerb which is a PITA when parking, also the rear view camera needs cleaning regularly as it collextsnalot of road dirt. I genuinely can’t think of anything else that I don’t like. W12GT said: ","January 09, 2019",Porsche Macan
GT4RS,"On the third one, perfect everyday car.My only advice would be get a gts rather than the diesel, IMO they drive far better. ","January 09, 2019",Porsche Macan
GT4RS,"Porsche911R said:Nigel Worc's said:What ho chapsJust a quick request for feedback, my mate is looking at Macan modelsMay I ask for any advice/ feedback on these cars please ?Many thanks in advanceWhy does he want an SUV ? They do nothing well ?So my advice is talk him out of it :-)What a complete tool! Porsche911R said: Nigel Worc's said: ","January 09, 2019",Porsche Macan
Porsche911R,"Yellow491 said:Dont listen to the r twoddleGet one,the petrol versions are gutsy on fuel,diesel are brilliant.Not much room in a macan but the cayenne is great,they aint no sports car though.I had a tourag for 5 years,the cayenne is on a differant level especialy towing with air suspension etcSo don’t listen to me but don’t buy one lol classic Yellow491 said: ","January 09, 2019",Porsche Macan
pb8g09,"With an unlimited budget and only space for 1 car on the drive, this would absolutely be my pick. ","July 24, 2021",Porsche Macan
Johnnytheboy,Friend of mine (my mechanic) had one until recently (a GTS) and loved it.Not my cup of tea but if you must have a car like this it seemed like a good choice.He's got a Yaris now! ,"July 24, 2021",Porsche Macan
Rostyle,"Ok not a huge fan of Macan anyway as no rear legroom for teenagers so defeats purpose of multi use SUV for me , but I've got to say if any British , French or Italian car had that many component faults and recalls it would be slaughtered on this site . The fact its sold at a premium price and retains its value is more baffling. I wonder if perhaps because its a Porsche..... ","July 24, 2021",Porsche Macan
sidewinder500,"And it isn't a Porsche anyway, it's an Audi... ","July 24, 2021",Porsche Macan
cerb4.5lee,"I've always wanted to try one of these, and from what I read they are really good to drive for a SUV. ","July 24, 2021",Porsche Macan
Buster73,"sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in. sidewinder500 said: ","July 24, 2021",Porsche Macan
sidewinder500,"Buster73 said:sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in.It is not only platform sharing, the Macan is classified as an Audi, not a Porsche. Buster73 said: sidewinder500 said: ","July 24, 2021",Porsche Macan
houseofbroon,"Really nice cars both to look at and to drive, but to refer to the affordable pricing and the comforting blanket of Porsche brand value and quality and then follow on with a frightening list of potentially expensive problems common on them seems wishful thinking. It's a long time since Porches were the simple, sturdy reliable cars that made the legend. ","July 24, 2021",Porsche Macan
sidesauce,"sidewinder500 said:Buster73 said:sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in.It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Are you sure about that?""The Porsche Macan shares its platform and wheelbase with the first generation Audi Q5 (2008–2017). The suspension configuration is based on and heavily modified from the Audi but the engine, transfer case, suspension tuning, interior and exterior body are unique to the Macan. It is also 1.7 in (43 mm) longer and 1.4 in (36 mm) wider than a Q5.""Buster is right - we're well aware of platform sharing but it isn't, as you assert (unless you can prove otherwise), classed as an Audi. sidewinder500 said: Buster73 said: sidewinder500 said: ","July 24, 2021",Porsche Macan
mrclav,"houseofbroon said:It's a long time since Porches were the simple, sturdy reliable cars that made the legend.I didn't realise Porches were even cars to begin with...But joking aside, people don't want simple, sturdy, reliable cars for the most part - they want cars with lots of toys that they can change up for a new one every couple of years. This isn't an issue with Porsche alone by any stretch.Furthermore, I think it's fair to say that car reliability has improved a lot since, say, the 70s and 80s. houseofbroon said: ","July 24, 2021",Porsche Macan
Spiros115,"Rostyle said:Ok not a huge fan of Macan anyway as no rear legroom for teenagers so defeats purpose of multi use SUV for me , but I've got to say if any British , French or Italian car had that many component faults and recalls it would be slaughtered on this site . The fact its sold at a premium price and retains its value is more baffling. I wonder if perhaps because its a Porsche.....I was looking at one of these until I sat in it, wow it’s tiny, I’m a shade under 6ft so not huge but I simply couldn’t sit in the back with the drivers seat in a comfortable position. Even the front felt a bit cramped to be honest. Rostyle said: ","July 24, 2021",Porsche Macan
SidewaysSi,"mrclav said:houseofbroon said:It's a long time since Porches were the simple, sturdy reliable cars that made the legend.I didn't realise Porches were even cars to begin with...But joking aside, people don't want simple, sturdy, reliable cars for the most part - they want cars with lots of toys that they can change up for a new one every couple of years. This isn't an issue with Porsche alone by any stretch.Furthermore, I think it's fair to say that car reliability has improved a lot since, say, the 70s and 80s.But when new cars break down you may be heading for a world of pain. And expense.Are Porsches more reliable today than they were in the 70s and 80s? Not sure. mrclav said: houseofbroon said: ","July 24, 2021",Porsche Macan
British Beef,"Audi TTs used to be the chariot of hairdresser done good, I think the Macan has now taken that position from the TT.Must say they hold their value very well (50% retained value in 6 years), compared to say an M5 (25%-30% value in 6 years). ","July 24, 2021",Porsche Macan
Augustus Windsock,"sidesauce said:sidewinder500 said:Buster73 said:sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in.It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Are you sure about that?""The Porsche Macan shares its platform and wheelbase with the first generation Audi Q5 (2008–2017). The suspension configuration is based on and heavily modified from the Audi but the engine, transfer case, suspension tuning, interior and exterior body are unique to the Macan. It is also 1.7 in (43 mm) longer and 1.4 in (36 mm) wider than a Q5.""Buster is right - we're well aware of platform sharing but it isn't, as you assert (unless you can prove otherwise), classed as an Audi.Isn’t that a bit like saying I’m really Usain Bolt underneath, because I have two arms, two legs, a head and a body, when I am in fact more like Oliver Hardy…? sidesauce said: sidewinder500 said: Buster73 said: sidewinder500 said: ","July 24, 2021",Porsche Macan
HM-2,"A GTS or Turbo on 19"" wheels is a pretty perfect single car all rounder in the UK but as a potential buyer (as I've considered the Macan as a replacement for my 140i) the residuals are hard to stomach. £40k for a 5 year old GTS with 70k on the clock puts you in a lot of equally competent newer performance cars of similar utility, or a range of similarly aged but somewhat more bonkers options that are still daily usable. ","July 24, 2021",Porsche Macan
mooseracer,"sidewinder500 said:It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Classified as an Audi? By who? sidewinder500 said: ","July 24, 2021",Porsche Macan
South tdf,"sidewinder500 said:It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Just had a look around ours, can’t see any Audi badges, will call the insurance company later for a discount as someone online said our Porsche is an Audi…. ffs sidewinder500 said: ","July 24, 2021",Porsche Macan
mikey k,"sidewinder500 said:Buster73 said:sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in.It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Classified by who based on what criteria sidewinder500 said: Buster73 said: sidewinder500 said: ","July 24, 2021",Porsche Macan
sidesauce,"Augustus Windsock said:sidesauce said:sidewinder500 said:Buster73 said:sidewinder500 said:And it isn't a Porsche anyway, it's an Audi...Everyone is aware of platform sharing and badge engineering especially throughout the VW family , but don’t let that stop you getting a cheap shot in.It is not only platform sharing, the Macan is classified as an Audi, not a Porsche.Are you sure about that?""The Porsche Macan shares its platform and wheelbase with the first generation Audi Q5 (2008–2017). The suspension configuration is based on and heavily modified from the Audi but the engine, transfer case, suspension tuning, interior and exterior body are unique to the Macan. It is also 1.7 in (43 mm) longer and 1.4 in (36 mm) wider than a Q5.""Buster is right - we're well aware of platform sharing but it isn't, as you assert (unless you can prove otherwise), classed as an Audi.Isn’t that a bit like saying I’m really Usain Bolt underneath, because I have two arms, two legs, a head and a body, when I am in fact more like Oliver Hardy…?No it isn't, at all. In fact, it's more like saying I’m really Usain Bolt underneath, because I have two arms, two legs, a head and a body, when I am in fact more like Yohan Blake. Augustus Windsock said: sidesauce said: sidewinder500 said: Buster73 said: sidewinder500 said: ","July 24, 2021",Porsche Macan
JurassicF,"Replaced my M135i with a December 2017, one owner, 16,000 mile, GTS with every option ticked last October.Bought it from an OPC.It's a stunning car in every way and the soundtrack in sport mode is awesome, my weekend toy almost never comes out now.Porsche have offered me more for it than I paid as they are short of stock, that's my type of depreciation. ","July 25, 2021",Porsche Macan
JurassicF,"Oh and my brother in law has the same car with an Audi badge, he would jump in mine over his any day!Edited by JurassicF on Sunday 25th July 08:32 Edited by JurassicF on Sunday 25th July 08:32 ","July 25, 2021",Porsche Macan
AlistairF,"The Macan is a great all rounder.In a bid to be keep my garage costs under tighter control, I sold my M2 and old 2004 Cayenne to get my well optioned Macan GTS. It's a 2018 pre-facelift model and it's no M2 obviously, but it is so much more comfortable on the B roads and still a hoot to whiz around in.It's not so economic to run though, mid 20s mpg, eats tyres fairly quickly and reliability is typical Porsche having had a new transfer box at about 30K miles and an oil leak to resolve, fortunately under warranty. ","July 25, 2021",Porsche Macan
9k rpm,Was looking at the GTS but as others have said it’s tiny inside. Ended up with an SQ5 3.0T which is on the new platform and as a result a far bigger and better put together car. It’s just as quick as the GTS too. Handling is pretty decent although not as good as the Porsche but it’s about as fast as you could reasonably want for UK roads. Fuel economy is worse than my M4 by some margin but the brakes are better and astonishingly good. ,"July 25, 2021",Porsche Macan
T25UFO,"Bought a MY 2020 Turbo to replace my GT4. Needed to transport grandchildren and only had space (and funds!) for one car. It's brilliant, as quick as the GT4 (obviously not in the twisty bits) and comfortably quiet by comparison. Only downside is the options list - spent the equivalent of a new Mini Cooper S on options - but that's the way of things with Porsche. ","July 25, 2021",Porsche Macan
W27PRR,"If the prospect of crippling repair bills wasn't such a worry then this would be the perfect car for myself and the missus. It must be the only car we've ever been on the same page with. Honestly even the best looked after modern VWAG car seems to begin disintegrating after the lease period is over. Our little Skoda hasn't been too bad in all honesty and the turbo niggles with the 1.2 were sorted under warranty. By contrast, the Caddy has been an absolute nightmare. ","July 25, 2021",Porsche Macan
Graeme123,"Really like these, always said I will have one at some point. Just need to push myself in to the next wage bracket so I’m covered if anything does need fixing.Noticed on AT that a lot seem to have white or cream interiors though! Which isn’t ideal haha ","July 25, 2021",Porsche Macan
JurassicF,"W27PRR said:If the prospect of crippling repair bills wasn't such a worry then this would be the perfect car for myself and the missus. It must be the only car we've ever been on the same page with. Honestly even the best looked after modern VWAG car seems to begin disintegrating after the lease period is over. Our little Skoda hasn't been too bad in all honesty and the turbo niggles with the 1.2 were sorted under warranty. By contrast, the Caddy has been an absolute nightmare.2 year OPC warranty for £1,400Warranty and service prices are actually cheaper than they are on my F-Type year for year. W27PRR said: ","July 25, 2021",Porsche Macan
W27PRR,"JurassicF said:2 year OPC warranty for £1,400Warranty and service prices are actually cheaper than they are on my F-Type year for year.Well that's interesting, I would have bet my next wage slip on the F-Type being cheaper to procure a warranty for. JurassicF said: ","July 25, 2021",Porsche Macan
keo,I would love a Macan. Drove a Cayenne and loved it although maybe a little big. Can imagine a Macan being perfect. ,"July 25, 2021",Porsche Macan
JurassicF,"W27PRR said:Well that's interesting, I would have bet my next wage slip on the F-Type being cheaper to procure a warranty for.Sadly not, around £1150 pa for the F-Type.Guess that says something about JLR reliability vs Porsche.Forums like these always highlight issues with cars, happy customers rarely post positives and a few surveys have the Macan high up in the customer satisfaction statistics.Only real issue with the Macan is the early transfer boxes (which have been slightly redesigned) and under an 8 year manufacturer warranty anyway and a few with sunroof leaks, but given most spec the sunroof the percentages are probably low.If the car really is what you want, get one you won't be dissapointed.""The Porsche Macan was ranked as the most dependable compact premium SUV in the 2021 J.D. Power Vehicle Dependability Study, which assessed the three-year performance of 2018 model-year vehicles.""Edited by JurassicF on Monday 26th July 08:55 W27PRR said: Edited by JurassicF on Monday 26th July 08:55 ","July 26, 2021",Porsche Macan
PaulJC84,"We have a 2018 Macan Turbo which my GF drives.It had the transfer box replaced at about 12k miles under warranty. Don’t think we will run it without one. Still got about 2 years left.It’s a nice car to drive, especially compared to her old Evoque. We had a Panamera courtesy car though for a week while her car was in for the box and it did highlight how it’s a nice steer for a SUV. But the Panamera was a lot better. I do like how low the seats go in the Macan but the Panamera was a different ball game.The interior is nice with alcantara headlining and the 18 way seats. The GF loves it too which is the main thing. ","July 27, 2021",Porsche Macan
N111BJG,"My daily work car is a 2019 Macan S, 30k miles done in 2 years, with no problems.I tried all the competitors, some more expensive & I felt it was far superior for what I wanted,It’s not cheap to buy or run (long term MPG = 25.4) I like mine a lot, so will be ordering another new one for delivery next March. ","July 28, 2021",Porsche Macan
off_again,"Bought a 2021 Macan S in March! I knew what I was looking for and it was on the shortlist but allowed my wife to test drive a whole bunch of cars to see what she wanted. Tried everything from a Jag F-Type to an Evoque to a mix of Kia's, a couple of Audi's and Mercs and even a Tesla. She drove the Macan and didnt really say much.... didnt think too much about it.Next working day, sent me the details on the offer, package and dealer incentives etc... yep, she made her mind up on the spot and it matched with mine! While they get criticism for the array of buttons, which I thought she would hate, she ended up loving it. Not necessarily helped by test driving the new Evoque just beforehand, which had 100% touchscreens that just didnt work well. Pretty simple and easy to use, but in the sun the reflection was awful and you ended up not being able to see them! Buttons all the way (though I know its changing for the 2022 Macan).Had a Cayenne before which was really good, if expensive car to run. But the Macan really is a bigger hot hatch! Fast, nimble, easy to drive and suspiciously quick! Oh, and the ride is fantastic. We dont have the air suspension, but even without it, the ride is very good and its super quiet too. As mentioned by others, its a really good all-rounder. If you want to cruise quietly, it can do that. If you want to tackle a nice mountain road, it can do that too.... and practicality is good too.Criticisms? The updated infotainment is good and works well, BUT it can take a little longer to hook up for wireless CarPlay and doesnt like switching between phones, but thats small. Rear space isnt great either, so dont expect some roomy cavern on the inside. The seats are excellent, but you will want the 14 way ones, which are usually extra. If you have the tow accessory, the rear hatch hands-free opening doesnt work at all and for the US market, you dont get full open / close for the windows on the remote - its disabled for some damn reason! Even my low spec i3 has that!!! And its not an option that a Porsche dealer can turn on either. They arent allowed, even though its in the PIWIS system! Biggest criticism? Extras.... you will pay a lot for them, many of which are simply not worth the money... just take a look at the configurator at some of the personalization options, you can spend thousands on stuff you dont need!Cars sold in the US come with a 3 year warranty, 1 years servicing (get a second for free from my dealer), free Lo-Jack and I even managed to get a small discount before the car market went bonkers! Fully intend to keep the car for at least 3 years as it is fantastic. Unless I win some sort of lottery or have a windfall, this one is a keeper!Oh, and its currently at a bodyshop having a small dent / paint chip fixed - these things happen and I was prepared to just let it roll. But no, the wife wanted it perfect - I think she has fallen for it! ","July 28, 2021",Porsche Macan
nelcomx,"JurassicF said:Replaced my M135i with a December 2017, one owner, 16,000 mile, GTS with every option ticked last October.Bought it from an OPC.It's a stunning car in every way and the soundtrack in sport mode is awesome, my weekend toy almost never comes out now.Porsche have offered me more for it than I paid as they are short of stock, that's my type of depreciation.Do you still own your Macan, if so how are you finding now would you still recommend it? JurassicF said: ","April 18, 2022",Porsche Macan
lornemalvo,"I test drove a base Macan last year and it was nice to drive, without a shadow of a doubt ( although I didn't like the protruding centre bulkhead that pushed my left foot into an unnatural position). I read a great deal about them and came to the conclusion that from an engineering point of view, the Macan is both brilliant and appalling. The interior quality is stunning. It just shouts quality and makes my (otherwise nice) Audi A4 interior look like a Lada. The feel of the drive is really nice, although the base engine was not that impressive, although probably fine in daily use.On the down side, I'm staggered that people accept the almost inevitable and extremely expensive mechanical issues that these cars seem to come with, at relatively low mileages. The Macan is not a new car, so why the engines and transfer boxes persist with these faults is beyond me. Either Porsche are unable or are unwilling to develop their product properly. So ownership, in my view, can only be for me while the car has an OPC warranty, which is a major expense on top of an expensive car to run. The final straw is the way prices of used cars have gone. Macans seem disproportionately affected so people are obviously buying into Porsche's schtick. Image driven? Perhaps they are helped by the fact that the competition is so damned mediocre? ","April 20, 2022",Porsche Macan
lornemalvo,"W27PRR said:JurassicF said:2 year OPC warranty for £1,400Warranty and service prices are actually cheaper than they are on my F-Type year for year.Well that's interesting, I would have bet my next wage slip on the F-Type being cheaper to procure a warranty for.£1420 for extended warranty, £1520 for standalone warranty (bought after original warranty expires?), plus over £200 for the 111 point inspection. Given the seemingly unreliable mechanical components (oil seals, transfer boxes etc), for many people it will be essential. Call it a ""Porsche Unreliability Tax"" W27PRR said: JurassicF said: ","April 21, 2022",Porsche Macan
PistonTim,"So the car cant stand up to a British summer, I thought they were supposed to be tested in actual hot environments. ","August 11, 2022",Porsche Macan
CoolHands,"I remember the first time I saw a Porsche Cayenne, on The Sopranos, and it reminded me of a boat. I still see that. ","August 11, 2022",Porsche Macan
Wab1974uk,"Macan S is the sweet spot.A YouTuber compared performance between S & GTS, and there was nothing in it. So why all the extra money?Sadly, getting a Macan is proving dificult. Ordered February. Still no build date. But they did increase the price .... which was nice! I'm expecting another one before I actually get mine, then finance quote will no doubt be changed with higher interest too. ","August 11, 2022",Porsche Macan
thelostboy,"I went from Diesel Macan on steel springs to GTS Macan with Air Suspension and PCCBs and it, perhaps not unsurprisingly, a completely different car to drive.Perhaps the facelift and/or T configuration is an improvement on my old diesel, but as far as I'm concerned the air suspension is an ESSENTIAL upgrade. Likewise, if you're planning on keeping the car, the PCCBs are - roughly - a thousand times better; instant impact, and immense power making the car feel half its weight. And no brake dust!Back to the Macan T, I couldn't face paying that much for a new Porsche that can be shown a clean pair of heels by a warm hatch (lets fact it, the 0-60 time is a flattering stat thanks to launch control). ","August 11, 2022",Porsche Macan
130R,I had a new base Macan as a courtesy car a couple of weeks ago and I couldn't wait to get rid of it. I actually suspected there might have been something wrong with it because I've driven a Macan S and a Cayenne S a few times before and thought both were good. It was a hot day and the car I had suffered the same complete lack of front end grip and gave absolutely no confidence to push on. The base engine is also not good IMO. Performance is just about ok but it's very thrashy and not at all pleasant to drive. ,"August 11, 2022",Porsche Macan
just passing by,yawn. buy the S instead.that awful gaping radiator grille is emphasised by a light paint colour. might be less goppingly ugly in a dark hue. ,"August 11, 2022",Porsche Macan
fantheman80,"So it gets the Golf R engine, but not the golf R power. Id want my Porsche quicker than a t-roc r!Still sell loads mind you ","August 11, 2022",Porsche Macan
Roger Irrelevant,"thelostboy said:Back to the Macan T, I couldn't face paying that much for a new Porsche that can be shown a clean pair of heels by a warm hatch (lets fact it, the 0-60 time is a flattering stat thanks to launch control).I'd be the same - I'm semi-seriously looking at quick SUVs for my next family car and though Macans are a theoretical possibility the problem is that the new-ish ones I can afford just aren't that quick (but still a bit thirstier than I'd like doing 17k miles per year). This is why I think diesels still make a lot of sense in decent sized SUVs and I'm finding it difficult to look past an X3 M40d (or even a 30d which is still a bit quicker than this, bearing in mind I won't be using it like a sports car). thelostboy said: ","August 11, 2022",Porsche Macan
T1berious,"fantheman80 said:So it gets the Golf R engine, but not the golf R power. Id want my Porsche quicker than a t-roc r!Still sell loads mind youI was thinking exactly the same thing. The Tiguan R has a far more acceptable 0-60 of <5 seconds and is 15K cheaper?I know brand cache is paramount to a lot of folks but this seems a bit odd. Surely you'd want the Porsche one quicker?Plus the T as a concept is kind of lost on me, yep on a 992, Cayman and Boxster, fill yer boots but on an SUV? Not so sure.A bit X3 M CSL ..... fantheman80 said: ","August 11, 2022",Porsche Macan
sxmwht,"Could never spend all that money on a Porsche that has the same engine as my current GTI, sorry. Not sure what they're thinking. ","August 11, 2022",Porsche Macan
thelostboy,"Roger Irrelevant said:thelostboy said:Back to the Macan T, I couldn't face paying that much for a new Porsche that can be shown a clean pair of heels by a warm hatch (lets fact it, the 0-60 time is a flattering stat thanks to launch control).I'd be the same - I'm semi-seriously looking at quick SUVs for my next family car and though Macans are a theoretical possibility the problem is that the new-ish ones I can afford just aren't that quick (but still a bit thirstier than I'd like doing 17k miles per year). This is why I think diesels still make a lot of sense in decent sized SUVs and I'm finding it difficult to look past an X3 M40d (or even a 30d which is still a bit quicker than this, bearing in mind I won't be using it like a sports car).Can't blame you really. I can just about get 30-32mpg from the GTS which has a de-tuned RS4 engine. I'd be curious to know if I got it mapped whether I'd get better fuel economy. However a Diesel Macan wasn't hugely better, which is why I made the swap.Curiously a Diesel Macan I had about 7 years ago (with the same engine as the Macan) used to do 42mpg+ with no issues.If you're really doing 17,000 in a single car though, for me good economy is mainly important for range - I couldn't be bothered with refilling every few days. Roger Irrelevant said: thelostboy said: ","August 11, 2022",Porsche Macan
ManyMotors,"I find the Macan rather large on the outside and small on the inside. Plus, it feels heavy. But people buy them.... ","August 11, 2022",Porsche Macan
cayman-black,130R said:I had a new base Macan as a courtesy car a couple of weeks ago and I couldn't wait to get rid of it. I actually suspected there might have been something wrong with it because I've driven a Macan S and a Cayenne S a few times before and thought both were good. It was a hot day and the car I had suffered the same complete lack of front end grip and gave absolutely no confidence to push on. The base engine is also not good IMO. Performance is just about ok but it's very thrashy and not at all pleasant to drive.So they drive as they look! 130R said: ,"August 11, 2022",Porsche Macan
British Beef,"A lot of money for a car, any car, with a VW golf engine. Same power as Toyota manage from the Yaris GRs 3 cylinder 1.6, and double the cost.This car is about as far away from Pistonheads wet dream as most electric offerings........ It will sell by the f**cking ship load.You wont be able to drive past any school at drop of time without getting stuck behind a queue of these things double and triple parked. ","August 11, 2022",Porsche Macan
WY86,"Wab1974uk said:Macan S is the sweet spot.A YouTuber compared performance between S & GTS, and there was nothing in it. So why all the extra money?Sadly, getting a Macan is proving dificult. Ordered February. Still no build date. But they did increase the price .... which was nice! I'm expecting another one before I actually get mine, then finance quote will no doubt be changed with higher interest too.The Macan S sounds terrible though, was at a petrol station where i heard one start up after refilling and yeah underwhelmed Wab1974uk said: ","August 11, 2022",Porsche Macan
Davy Jones,"Mrs has the S. Hate to say it, but a great drive. ","August 11, 2022",Porsche Macan
smilo996,2 tons and 65k of pointless and wasted resources. ,"August 11, 2022",Porsche Macan
nismo48,smilo996 said:2 tons and 65k of pointless and wasted resources.Fair comment... smilo996 said: ,"August 11, 2022",Porsche Macan
ate one too,4 exhaust tips ..... FFS ,"August 11, 2022",Porsche Macan
