Name,Comment
Sweeney70,"Today, and yesterday and the day before and the previous week - been pumping up a slowly deflating rear tyre.Haven't had the time to investigate and see whats wrong.Want to avoid paying for a new one cos I'm have tyres as part of my maintenance package built into my lease."
David P,Alfa Romeo Forumwww.alfaowner.com
gobits,Added the logo puddle lights...
cue2,Got a new case for care products.
Sweeney70,That is sooooo non-essential.I absolutely love it!
David P,A thread for Stelvio owners
cue2,Had the fuel door replaced last week. Looking much better.
Alfie155,"Took the Milano to Thames Alfa by invitation and met a chap from Alfa HQ who is going to look at the alarm in league with a technician being flown over specially from Turin. A Stelvio QF owner also dropped his off for similar scrutiny, just before me. Anyone on here?I was told that an alarm isn't fitted in the rest of Europe hence Turin being interested in looking at the fault(s) in the system that the UK market is experiencing.I also handed over a list of other things needing attention, not least of all the Engine management light, excessive Adblue consumption and two spells in limp mode. I mentioned that a diagnostic showed 83% full DPF. That apparently is nothing to worry about as readings approaching 200% are not unknown (not necessarily in Alfas.) I can't get my head round a reading over 100% - full is full surely? Apparently not.Anyway here's hoping such exhalted attention restores my diminished faith in the most sophisticated car I've owned.My loaner is a lovely red Guilia Technica diesel on a 68 plate with red/black half leather. No heated seats, flappy paddles, heated steering wheel, a distinct lack of usb's and not many of the driver assist gizmos. Interestingly the dna switch doesn't reset to N when the ignition is turned off so was very surprised at the acceleration away from the lights but then realised it was already in D.I'll update when I get Milly back."
alfaitalia,"Its 100% of what they deem is enough blockage to instigate regen....not 100% of full (ie blocked!). That's why its possible to get 200% or whatever....its just double the amount of soot that's required for regen.....but possibly conditions have not been met for regen to occur...short journeys, not hot enough engine,stopping before regen is completed, too low a fuel level in tank, etc ,etc. Never been up to 200% (I have a DPF monitor app on my phone that also keeps records of the previous regens, times, temp reached, before and after percent blockage etc...recommended) and it usually does not get past about 120%.....and down to 15-30% after regen."
Alfie155,Thanks . That ties in with what the guys at the dealership were saying.
David P,"Voting now open for the previous entriesJanuary 2020 AO Detailing Competition VoteVote for whoever you think deserves to winFebruary Detailing competition now open for entriesFebruary 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the carCheck out the updated rules hereMonthly Detailing Competition Rules"
W1NST,Driven through some pretty deep water on my way home from Blackpool. Even my wife commented it was lucky we weren’t in one of our Mito’s!
David P,"Voting now open for the previous entriesMarch 2020 AO Detailing Competition VoteVote for whoever you think deserves to winApril Detailing competition now open for entriesApril 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the carCheck out the updated rules hereMonthly Detailing Competition Rules"
cue2,"I took the Stelvio out for the first time in three weeks or more, just to hopefully charge the battery and get it moving. It was nice to experience the way it drives. A real pleasure. Not that I like driving for the sake of it."
W1NST,"Glad to hear Cue - did the same with mine last week and every warning light under the sun came on - abs / hill hold / power steering , collision mitigation / abs and a few more. Technician came out but a sensor needs replacing and all the Alfa Dealers near me are shut. Lucky I’ve got 2 Mito Twin Airs as back ups. I must admit though the week before I have started road cycling again which I know you are fond of - I was quite a handy junior for Kirkby CC before I switched to Rugby and I had a problem with one of the jockey wheels coming off on my Campag Record rear mech so had to get the missus to pick me up - popped the rear seats down, put the bike in and I actually turned to her and said i’d forgotten just how nice a car it was to be in. They really have upped the interiors - thought my 159 ti and GIULIETTA Exclusive were nice but the Stelvio / Giulia are another level. 2020 facelifts are a slight improvement as well but not enough to get me to spend £10k changing form mine. Stay Safe!"
W1NST,Fixed it and gave it a damn good thrashing this afternoon!
David P,"Voting now open for the previous entriesApril 2020 AO Detailing Competition VoteVote for whoever you think deserves to winMay Detailing competition now open for entriesMay 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the carCheck out the updated rules hereMonthly Detailing Competition Rules"
cue2,I looked out of the window and was still there. Must drive it one day.
cue2,Good choice of tyres. They are fast those Michelins.
W1NST,Yes - i’m a Conti fan traditionally - especially Gatorskins for winter and sportives but have switched to Michelin on my best road bike on Campag Neutron Ultra wheels and they are definitely quick.
Mash1138,Gave it a good overdue wash/clean in and out yesterday....Time to add to diary to do more regularly...
Mash1138,Clean again...
cue2,I drove it! As good as I remembered it.And parking up I still don’t understand why the US owners want an HD image from the reversing camera.
cue2,I used the car a couple of times and now the Stop/Start is working. That means the battery is reasonably well charged despite it sitting unused most of the time for weeks.
Mash1138,"SS hardly ever works for me,even when driving regularly..?"
leraunch,"Took the Stelvio on Safari yesterday at West Midlands Safari park. I was a bit worried the Alfa Red would attract a few animals to sit on it, fortunately the bloke in front had a garish orange Audi Q8 which the camels took a liking too."
David P,A thread for Stelvio owners
Alfie155,I bet he got the hump.
cue2,A lot of camels live in Kuwait.
GVblue,"Well, as we pick up our new Steve next week I thought I'd look on here for some tips as to what little adornments (with the relevant links to Ebay) I could lavish on him to make him feel wanted and loved.Unfortunately, you guys seem to have done little more than wash them so it looks like I'm going to have to start scouring the internet myself."
cue2,I got some more Alfa accessories today for mine. A set of the luxury mats with the grey stitching. Yesterday I treated the leather with Swissvax Leather cleaner followed by their Leather Milk and the Matt adjustment finisher treatment.
cue2,I’ve already specified the boot rails and the load-retainer.
cue2,"And , of course , the blu montecarlo key cover."
cue2,"Here, the mats are pretty much as the std ones but with the name embroidered on, a rubber tab opposite with AlfaRomeo script and the grey stitching on the binding."
GVblue,"For some inexplicable reason you can't get Alfa Red key covers. Luckily, I have some spare covers (my wife bought me some M/C blue ones for my Misano Blue Giulia). I also have a spray can of Alfa Red paint and one of lacquer so I have painted my own in readiness.. That's over £110 saved.How can Alfa justify £56 for a small piece of painted plastic, other than they know some of us will pay it.?"
cue2,The standard one is grained black plastic. They either paint this a lot to do the body colour ones or they’ve spent money on an ungrained mould? Perhaps they are free to some customers and the high price makes them grateful.
David P,"Voting now open for the previous entriesJuly 2020 AO Detailing Competition VoteVote for whoever you think deserves to winAugust Detailing competition now open for entriesAugust 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the carCheck out the updated rules hereMonthly Detailing Competition Rules"
Mash1138,"Autoglym Polar Blast, Polar Wash, Polar Seal this morning.Inside cleaned last night.Ready for a day out now"
GVblue,"Well, since getting our Stelvio just over a week ago I've painted the grey primed wheel hubs black to match the wheels and prevent rust. I've fitted a dash-cam. I've replaced the standard puddle lights with Alfa logo ones which, at £13.99 a pair, work damn well. I've adjusted the 'self levelling' headlamps as the guy who set them up in the factory clearly used Marty Feldman (you're showing your age if you don't have to google him) as a reference point. Fitted Epsonix's s/s device. Oh! and I've sprayed the key covers Alfa Red, the same as the car.Might get around to driving it sometime."
sik,Updated the Maps from 1036.9756 >> 1052.10501. It was straightforward enough and took about 45 mins.
David P,"Voting now open for the previous entriesAugust 2020 AO Detailing Competition VoteVote for whoever you think deserves to winSeptember Detailing competition now open for entriesSeptember 2020 Detailing Competition EntriesDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the carCheck out the updated rules hereMonthly Detailing Competition Rules"
GVblue,"Fitted these to our Stelvio at the weekend.JUZZQ Mud Flaps Splash Guards Mudguards Protective Fender 4pcs ，For Alfa Romeo Stelvio SUV 2018 2019 Premium Front & Rear Set Moulded Full Protection Set Splash Mud Guards Black : Amazon.co.uk: AutomotiveJUZZQ Mud Flaps Splash Guards Mudguards Protective Fender 4pcs ，For Alfa Romeo Stelvio SUV 2018 2019 Premium Front & Rear Set Moulded Full Protection Set Splash Mud Guards Black :Amazon.co.uk: Automotivewww.amazon.co.ukNot everyone's cup of tea but they are quite practical, a very good fit and the quality seems fine. Same price as just the two rear ones from Alfa and they,in my opinion, are spoilt by having 'STELVIO' printed on them.I think they would look even better on a non Veloce model where they would blend with the black trim"
cue2,It’s funny how the official accessories seem to be for people who forget and need to be reminded the name of their car.
W1NST,Bugger - that explains now why the GIULIETTA ones don’t fit!
Wombat408,"Had fitted Madness Autoworks Lusso pipes, lowered ride by 2"", fitted 15mm spacers. NO issue with the ride quality, a big YES to handling better, and a big YES to sounding better. Overall, a big YES to Madness Autoworks Austin TX."
alfa1959,Today I have installed a K&N air-filter and the car feels much better!! it feels as it can breathe now.
sik,I added puddle lights to my rear doors. I need to adjust the focus a bit though - the front ones are much sharper.
David P,A thread for Stelvio owners
,
cue2,Is that facing the right way?
GVblue,"Correct, they're marked left and right and that looks like the left one is on the right hand door."
cue2,"Correct, in that it is incorrect?"
sik,"I couldn't decide which way round. It'll literally take two minutes to swap them over though, once I can drum up the enthusiasm!"
GVblue,"I have them on our cars, if you look carefully they will probably have L and R on them.I put mine on the wrong way round at first."
Deman77,First “upgrades”.battery monitor fitted. Very easy access. Love all the tight fitting polystyrene- very road noise friendly. They kindly left a free attachment point on the positive and the negative had enough thread to add an extra nut. So I didn’t need to loosen anything.Was reading 94% to start and 20min later reading 87% then 89% with the I assume just error margins. I have CTEK charger waiting to step in if my driving starts dragging things down.impressively it connects to iPhone through a double glazed window with the car 10m away on the other side of the drive which is good Bluetooth performance.checked tyre pressure and noted one rear was 36.4 with rest at 37. Let’s see if we get a theme there.Tyre pressure gear moving in. I once splashed out on a low error calibrated gauge as I have seen massive variance on pump ones and my previous car ride was very fussy about tyre pressure.Changed valves caps to £5 ones from Amazon but they look naff - chrome does not work with aluminium and I will always know itta Will have to buy originals.tested faraday box and pouch to stop the car talking to the key and losing charge. They work.next to go in is epsonix’s SS disabler and some eBay door lights.
Muz,Inspired by this thread I bought and fitted some £16 Ebay front door Alfa puddle lights.
CABBLACK,Were they easy to fit
Muz,"A couple of mins each side. Easiest job I’ve done on an Alfa for yearsGently, with the help of a duster to cover the small flat headed screwdriver, prise out the old ones, disconnect with a push with the screwdriver on the connection, connect the new one and pop back in."
Deman77,"Winter tyres went onto stock wheels. Two frosty mornings in a space of a week is my sign. Road force balancing too - this thing did wonders to my Volvo in the past which had woeful road noise and ride but they are saying there was nothing out of whack with Alfa wheels or Pirellis so it was just old weights they had to do.went with AR homologated scorpions as they seem to do well in the wet and dry in the tests and they are the lowest load rating in the size and I don’t want bumpier ride then Alfa designed. I originally wanted pilot alpins but they have silly high noise rating for the stock size rears though fronts are quieter so I decided Alfa knows best.+11c and dry. Went home long way round. Didn’t feel much different from pz4 in this weather, same noise levels, same comfort, didn’t feel them overheat and I can feel some feedback when turning. I’m not tuned into this car yet nor am I comfortable to push it so can’t really offer proper comparison. I like that they have nicely overlapping operating ranges because with contis in the past there was always a big noticeable change from hardened summers to very soft winters. Pirellis both compounds in this weather felt similar to touch too - I am sure winters are softer just was not obvious.Pz4 skips for me at 10c and below. Scorpions don’t seem to."
Deman77,"Changed the door lights today to 4 for £20 from the people’s republic. Easy enough to do, probably need a minute each but I had to scrape out cut outs on new lights as fitting was not clicking in so it took me 20min.The originals were scorching hot - in pretty much 30sec that it took from opening the door to wedging them out I could not keep my hand on the back of them. I flicked door lock with door open and they definitely go out with doors closed. Must be just super warm lights. I wonder what other lights are like that. No surprise every time I unlock the car without driving battery drops 0.05v. The Chinese LEDs are perfectly cool to the touch.Doing this for 20min and reopening the doors to check things I managed to drop battery voltage from 12.7 to 12.3 or 100% to 84% according to the app estimates. Still trying to understand how it does SOC estimates - it can say 100% charge from 12.8 after a decent drive all the way to 12.6 after 36 hours idle but I have seen it say 75% at 12.5 last week and today it said 84% at 12.3. I think I will just look at voltage from now on.yesterday put in SS device so by default it is off now. courtesy of@epsonix. That took about 2min of which 1min was spent pondering whether to drop the device into the deep hole or jam it all in behind the front panel."
Deman77,"Brought her back from detailer.Other than extra glossiness and candy look which any wax would do at home after half a day of effort won’t really tell the difference as the car was new, but I expect it to look this way for a while now after a simple wash and bead water better. FWIW the detailer was very impressed with the factory paint job. I had stage one polish included - he said barely had to correct anything. The orange peel is there but no worse than others that’s too big a job to do.All Titan products. Did self healing ceramic on paint, all plastic trim, high temp resisting ceramic on wheels, callipers and exhaust tips.Signature Detail in Bishops Stortford - top guy."
Deman77,Time for the next cheap upgrade.Anyone with small kids have them fidget push against your backrest or generally look like if there was an accident they would not survive?My diagnosis is dangling small feet are not comfortable over long journeys. For very small kids you can buy and adjustable foot rest from Amazon that you will see in background in the last picture that my 4yo uses. But from about 4ft tall 7-8 years old those things do not go low enough. A regular foot rest is too low. Enter toddlers steps with perfect rubberised top and small enough to fit Stelvio tiny footwell. Couldn’t get a nice black colour. This is the least offensive they come - the rest are like crayon explosions.Now we only accept OEM or pretend OEM solutions here. So here is mine. Surface is curved and the badge is hollow so you need padded double sided tape or this crazy sticky gooey washable gel tape thing Amazon sells - in two layers.
cue2,One of the neat details on the Audi A2 was the accessory of storage boxes in the rear foot wells. They weren’t cheap but I got one for my wife’s car back on 2001 when our daughter was little. Got £45 for it a few months back on eBay!
Mash1138,Deman77 said:First “upgrades”.battery monitor fitted. Very easy access. Love all the tight fitting polystyrene- very road noise friendly. They kindly left a free attachment point on the positive and the negative had enough thread to add an extra nut. So I didn’t need to loosen anything.View attachment 944818Was reading 94% to start and 20min later reading 87% then 89% with the I assume just error margins. I have CTEK charger waiting to step in if my driving starts dragging things down.View attachment 944821impressively it connects to iPhone through a double glazed window with the car 10m away on the other side of the drive which is good Bluetooth performance.checked tyre pressure and noted one rear was 36.4 with rest at 37. Let’s see if we get a theme there.Tyre pressure gear moving in. I once splashed out on a low error calibrated gauge as I have seen massive variance on pump ones and my previous car ride was very fussy about tyre pressure.View attachment 944823Changed valves caps to £5 ones from Amazon but they look naff - chrome does not work with aluminium and I will always know itta Will have to buy originals.View attachment 944822tested faraday box and pouch to stop the car talking to the key and losing charge. They work.next to go in is epsonix’s SS disabler and some eBay door lights.Click to expand...What battery monitor did you fit? Need to fit one to my Stelvio - getting dead battery too much.Many thanks.
Mash1138,"Charged the battery - again, not happy.Cleaned the inside of the car...too cold for the outside lol"
Deman77,BM2 on Amazon. I paid 35 but it suggested one for 21 today and the picture looks identical.
Mash1138,"Found it, ordered..."
Deman77,"Still have not had my first wash. Winter driving and the roads near me are not clean plus had to do some wading last two drives but it’s just been all coming off with a bit of rain off a freshly applied ceramic. But today it is finally starting to ask for a wash. Filthy roads today, tons of salt. An hour of driving with light B road traffic so good cornering speeds, but all I have is a dirty rear bumper and a bit of spray behind front wheels. My old xc90 used to have mud flaps and even so get absolutely covered in muck - especially the tailgate. Stelvio seems to have a very road spray friendly shape and arch extensions really work well.Got to get a pressure washer - can’t bear to stick hands in a bucket in this weather."
Mash1138,"Mine needs a wash too, but weather too cold even for a pressure wash and snow foam."
David P,A thread for Stelvio owners
,
Muz,"As the temperature is no longer below zero on the south coast I had intended to give my car a wash. The outdoor tap is frozen so that knocked that on the head, so I took a bucket and sponge, toothbrush and cleaned the wheels. I now have a filthy car with immaculately clean wheels and calipers"
Deman77,Mine absolute filth - caked in salt. I could barely unscrew wheel caps to check tyre pressure though frost doesn’t help. I think a bit of heatwave tomorrow afternoon and Tuesday - will be as warm as the inside of my fridge. I’ll give it a wash.
markies,Replaced the rear wiper blade....
markies,"GVblue said:Fitted these to our Stelvio at the weekend.JUZZQ Mud Flaps Splash Guards Mudguards Protective Fender 4pcs ，For Alfa Romeo Stelvio SUV 2018 2019 Premium Front & Rear Set Moulded Full Protection Set Splash Mud Guards Black : Amazon.co.uk: AutomotiveJUZZQ Mud Flaps Splash Guards Mudguards Protective Fender 4pcs ，For Alfa Romeo Stelvio SUV 2018 2019 Premium Front & Rear Set Moulded Full Protection Set Splash Mud Guards Black :Amazon.co.uk: Automotivewww.amazon.co.ukNot everyone's cup of tea but they are quite practical, a very good fit and the quality seems fine. Same price as just the two rear ones from Alfa and they,in my opinion, are spoilt by having 'STELVIO' printed on them.I think they would look even better on a non Veloce model where they would blend with the black trimClick to expand...May were have a pic with them on please?"
GVblue,When I get time later today.
GVblue,Best I can do I'm afraid.
cue2,What do those mudflaps look like from a greater distance? Probably a good idea.
GVblue,"From a greater distance they look the same, only smaller."
cue2,I don’t see them in context in your detail pictures.
Deman77,"After extensive rain water collection tub modifications I managed to hook it up to my pressure washer and give it a snow foam and a rinse. Don’t know if this counts as a wash, Some of the droplets started freezing on towards the end so I only used the mitt on the tailgate and the arches as here I saw some left over dirt. qv wheels are a doddle to clean too."
markies,Brilliant... Thank u... Looks great
GVblue,"Misano blue is my favourite, current, Alfa colour and I would have specced it on our Stelvio, but as I already have a Misano blue Giulia my wife said we would look very sad.I snow-foam our cars but do find it more labour intensive than a normal wash with a mitt and this time of year I find it painfully cold when you agitate (as per the instructions) before rinsing off.One regular process for me is a periodic clay mitt and I would recommend this if you like a deep shine."
markies,What foam do you use? I use Bilthamber foam in a garden spray bottleand it works really well. Never got a decent cling using the foam lance so gave up with then read in various places that the Bilthamber doesn't actually produce a deep clinging foam. On the wife's white car you can see the dirt lifting off....
Deman77,"I use snowfoam pro. It is average cleaning strength but it is PH neutral so does not affect my ceramic. Most of the better cleaning ones strip that off (though they are fine on factory finish). Snowfoam pro also clings very well just not breaking things up brilliantly. If your car is not ceramic coated there are better things. The same company makes ultra mousse which clings and foams the same amount but breaks down dirt much better.This is my first attempt and having used pressure washer first time ever. I wasted half the bottle figuring out correct nozzle settings on my foam gun. That picture is after 10min sitting on the car whilst I did the other one plus the was wet from rain which reduces clinging. I mixed another third of a bottle after to do extra on wheels and the other car and I did much better there - like on detailing videos. So I would say for clinging I do not need anything better - I actually had to go out with a patio brush 2hrs later to kill off all that foam on the paving as it looked like it was going to be there tomorrow and in places there were few square meters if what looking like snow carpet.I will add citrus prewash for next clean and will have enough time to do the actual washing. This thing left lots of traffic film still especially on bottom of the panels when you look from 2ft away and on the other car where I spent all of 5min to put on wait and wash off but it did remove the bulk of dirt so from distance cars look clean. The detailer told me this time of year citrus prewash is a must and is ceramic safe and if I want the water sheeting to come back to ceramic I have to take the mitt to it because it will not sheet unwashed. This was just a test and I would agree 90% rubbish is gone and washing after this would be way quicker.I think it’s not a terrible rinse if you don’t have time, but I was hoping for better. Perhaps it will be more effective when the car has been properly cleaned and does not have a month worth of winter deposits baked into it.I am still recovering from how easy ceramic coated wheels and exhaust tips were to clean. Though it’s not as quick as dark wheels that you never clean."
Deman77,"Thanks will keep in mind.Wow two Alfas, so you never not have to be in one."
markies,I just wish my Stelvio Speciale sounded like my V6 166 on full song 😎😎😎😎
Deman77,So here is a good demo how clean ceramic sheets nicely but dirty does not. The car only foamed and rinsed so lower parts of doors have traffic film on them but top parts of the car are pretty much clean as they hardly get that dirty.Look at the sheeting on front quarter and top of doors but bottom of doors (where the angle is even better it simply runs in uneven lines. I’ll take a mitt to it when I get a chance.
David P,Please take a few minutes to cast your vote to decide the overall winner for 2020AO Detailing Car Of The Year 2020
cue2,Are we allowed to detail our cars under zone 4 lockdown?
CABBLACK,Washed her at the weekend & went for a drive today as needed something to put a smile on my face. Stopped at the entrance to Brand hatch and took some pics
David P,A thread for Stelvio owners
,
Deman77,"+11 today. What a scorcher. I found an hour and did mine with citrus prewash, rinse off them two buckets and sponge and towel dry didn’t mess about with snow foam today. It came off a lot slicker after a sponge than just a lazy snow foam rinse.I expect should sheet water very nicely now. Rain tomorrow. Let’s see."
